id,gpu_name,url,graphics_processor-gpu_name,graphics_processor-gpu_variant,graphics_processor-architecture,graphics_processor-foundry,graphics_processor-process_size,graphics_processor-transistors,graphics_processor-die_size,graphics_card-release_date,graphics_card-availability,graphics_card-generation,graphics_card-predecessor,graphics_card-successor,graphics_card-production,graphics_card-launch_price,graphics_card-current_price,graphics_card-bus_interface,graphics_card-reviews,clock_speeds-base_clock,clock_speeds-boost_clock,clock_speeds-soc_clock,clock_speeds-uvd_clock,clock_speeds-memory_clock,memory-memory_size,memory-memory_type,memory-memory_bus,memory-bandwidth,render_config-shading_units,render_config-tmus,render_config-rops,render_config-compute_units,render_config-rt_cores,render_config-l0_cache,render_config-l1_cache,render_config-l2_cache,render_config-l3_cache,theoretical_performance-pixel_rate,theoretical_performance-texture_rate,theoretical_performance-fp16_(half)_performance,theoretical_performance-fp32_(float)_performance,theoretical_performance-fp64_(double)_performance,board_design-slot_width,board_design-length,board_design-width,board_design-height,board_design-tdp,board_design-suggested_psu,board_design-outputs,board_design-power_connectors,board_design-part_number,board_design-board_number,graphics_features-directx,graphics_features-opengl,graphics_features-opencl,graphics_features-vulkan,graphics_features-pixel_shader,graphics_features-vertex_shader,stock
203,Matrox Parhelia 256 MB,https://www.techpowerup.com/gpu-specs/parhelia-256-mb.c98,Parhelia-512,PHW-C1,Parhelia,UMC,150 nm,80 million,174 mm²,"Jun 25th, 2002",,Parhelia,,,End-of-life,,,AGP 4x,5 in our database,,,,,"250 MHz
										
					500 Mbps effective",256 MB,DDR,256 bit,16.00 GB/s,,16,4,,,,,,,800.0 MPixel/s,3.200 GTexel/s,,,,Single-slot,"175 mm
					6.9 inches",,,unknown,200 W,2x DVI,,,PH-A256,8.1,1.3,,,1.3,2.0,0
204,Matrox Parhelia APVe,https://www.techpowerup.com/gpu-specs/parhelia-apve.c1298,Parhelia-512,,Parhelia,UMC,150 nm,80 million,174 mm²,"Jun 14th, 2006",,Parhelia,,,End-of-life,,,PCIe 1.0 x16,5 in our database,,,,,"250 MHz
										
					500 Mbps effective",128 MB,DDR,128 bit,8.000 GB/s,,8,2,,,,,,,500.0 MPixel/s,2.000 GTexel/s,,,,Single-slot,"168 mm
					6.6 inches","97 mm
					3.8 inches","36 mm
					1.4 inches",unknown,200 W,2x DVI,,,PH-E128APVF,8.1,1.3,,,1.3,2.0,2
205,Matrox Parhelia DL256,https://www.techpowerup.com/gpu-specs/parhelia-dl256.c3523,Parhelia-512,,Parhelia,UMC,150 nm,80 million,174 mm²,2003,,Parhelia,,,End-of-life,,,PCI-X,5 in our database,,,,,"250 MHz
										
					500 Mbps effective",256 MB,DDR,64 bit,4.000 GB/s,,16,4,,,,,,,800.0 MPixel/s,3.200 GTexel/s,,,,Single-slot,"190 mm
					7.5 inches",,,unknown,200 W,2x LFH60,,,PH-P256DLF,8.1,1.3,,,1.3,2.0,6
206,Matrox Parhelia HR256,https://www.techpowerup.com/gpu-specs/parhelia-hr256.c3522,Parhelia-512,,Parhelia,UMC,150 nm,80 million,174 mm²,Sep 2003,,Parhelia,,,End-of-life,,,PCI-X,5 in our database,,,,,"250 MHz
										
					500 Mbps effective",256 MB,DDR,64 bit,4.000 GB/s,,16,4,,,,,,,800.0 MPixel/s,3.200 GTexel/s,,,,Single-slot,"190 mm
					7.5 inches",,,unknown,200 W,2x LFH60,,,PH-P256HR3DF,8.1,1.3,,,1.3,2.0,5
207,Matrox Parhelia PCI,https://www.techpowerup.com/gpu-specs/parhelia-pci.c95,Parhelia-512,,Parhelia,UMC,150 nm,80 million,174 mm²,2003,,Parhelia,,,End-of-life,,,PCI-X,5 in our database,,,,,"250 MHz
										
					500 Mbps effective",256 MB,DDR,64 bit,4.000 GB/s,,16,4,,,,,,,800.0 MPixel/s,3.200 GTexel/s,,,,Single-slot,"190 mm
					7.5 inches",,,unknown,200 W,2x DVI,,,,8.1,1.3,,,1.3,2.0,5
208,Matrox Parhelia Precision SDT,https://www.techpowerup.com/gpu-specs/parhelia-precision-sdt.c3521,Parhelia-512,,Parhelia,UMC,150 nm,80 million,174 mm²,2003,,Parhelia,,,End-of-life,,,PCI-X,5 in our database,,,,,"250 MHz
										
					500 Mbps effective",256 MB,DDR,64 bit,4.000 GB/s,,16,4,,,,,,,800.0 MPixel/s,3.200 GTexel/s,,,,Single-slot,"190 mm
					7.5 inches",,,unknown,200 W,1x DVI,,,PH-P256SDTF,8.1,1.3,,,1.3,2.0,6
209,Matrox Parhelia Precision SGT,https://www.techpowerup.com/gpu-specs/parhelia-precision-sgt.c3520,Parhelia-512,,Parhelia,UMC,150 nm,80 million,174 mm²,2003,,Parhelia,,,End-of-life,,,PCI-X,5 in our database,,,,,"250 MHz
										
					500 Mbps effective",256 MB,DDR,64 bit,4.000 GB/s,,16,4,,,,,,,800.0 MPixel/s,3.200 GTexel/s,,,,Single-slot,"190 mm
					7.5 inches",,,unknown,200 W,1x DVI,,,PH-P256SGF,8.1,1.3,,,1.3,2.0,2
210,Matrox Productiva G100,https://www.techpowerup.com/gpu-specs/productiva-g100.c3727,Twister,MGA-G100A-E,G100,UMC,350 nm,unknown,unknown,1998,,"G Series
(G1xx)",,,End-of-life,,,AGP 2x,5 in our database,,,,,62 MHz,2 MB,SGR,64 bit,496.0 MB/s,,1,1,,,,,,,41.00 MPixel/s,41.00 MTexel/s,,,,Single-slot,"150 mm
					5.9 inches",,,unknown,200 W,1x VGA,,,,3.0,,,,,,10
211,Matrox QID,https://www.techpowerup.com/gpu-specs/qid.c3527,MP-A4,,MP,UMC,0 nm,unknown,unknown,"Dec 17th, 2004",,QID,,,End-of-life,,,AGP 8x,5 in our database,,,,,"300 MHz
										
					600 Mbps effective",256 MB,DDR,128 bit,9.600 GB/s,,8,2,,,,,,,500.0 MPixel/s,2.000 GTexel/s,,,,Single-slot,"165 mm
					6.5 inches",,,unknown,200 W,1x DVI,,,QID-QDA8X128F,8.1,1.5,,,1.3,2.0,8
212,Matrox QID LP PCI,https://www.techpowerup.com/gpu-specs/qid-lp-pci.c3526,MP-A4,,MP,UMC,0 nm,unknown,unknown,"Dec 17th, 2004",,QID,,,End-of-life,,,PCI-X,5 in our database,,,,,"300 MHz
										
					600 Mbps effective",128 MB,DDR,64 bit,4.800 GB/s,,8,2,,,,,,,500.0 MPixel/s,2.000 GTexel/s,,,,Single-slot,"168 mm
					6.6 inches",,,unknown,200 W,2x LFH60,,,QID-P128LPAF,8.1,1.5,,,1.3,2.0,10
213,Matrox QID LP PCIe,https://www.techpowerup.com/gpu-specs/qid-lp-pcie.c3524,MP-A4,MP-A4L,MP,UMC,0 nm,unknown,unknown,"Dec 17th, 2004",,QID,,,End-of-life,799 USD,,PCIe 1.0 x16,5 in our database,,,,,"300 MHz
										
					600 Mbps effective",128 MB,DDR,128 bit,9.600 GB/s,,8,2,,,,,,,500.0 MPixel/s,2.000 GTexel/s,,,,Single-slot,"168 mm
					6.6 inches",,,unknown,200 W,1x DVI,,,QID-E128LPAF,8.1,1.5,,,1.3,2.0,0
214,Matrox QID PRO,https://www.techpowerup.com/gpu-specs/qid-pro.c3525,MP-A4,,MP,UMC,0 nm,unknown,unknown,"Dec 17th, 2004",,QID,,,End-of-life,,,PCI-X,5 in our database,,,,,"300 MHz
										
					600 Mbps effective",256 MB,DDR,64 bit,4.800 GB/s,,8,2,,,,,,,500.0 MPixel/s,2.000 GTexel/s,,,,Single-slot,"190 mm
					7.5 inches",,,unknown,200 W,2x LFH60,,,QID-P256PROF,8.1,1.5,,,1.3,2.0,5
